valor,cep,cidade,bairro,logradouro,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
680000,69040340,Manaus,Dom Pedro I,Rua Rita G. Barros,Apartamentos,97m²,3,2,2
60000,69035230,Manaus,Compensa,Rua Ribeiro Couto,Casas,75m²,2,0,1
70000,69041010,Manaus,Tarumã,Avenida do Turismo,Apartamentos,null,2,1,1
435000,69040360,Manaus,Dom Pedro I,Rua Virolas,Casas,200m²,3,3,2
570000,69040110,Manaus,Dom Pedro I,Rua Almirante Maximiano,Apartamentos,92m²,3,2,2
75000,69092410,Manaus,Nova Cidade,Rua Monte Albert,Casas,60m²,2,null,1
1600000,69037000,Manaus,Ponta Negra,Avenida Coronel Teixeira,Casas,270m²,3,null,4
45,69059664,Manaus,Lago Azul,Rua Santa Tereza D'Ávila,Casas,null,2,null,1
35000,null,null,null,null,Casas,500m²,2,null,1
170000,69023003,Manaus,Tarumã-Açu,Avenida Torquato Tapajós,Apartamentos,49m²,3,1,1
1900000,69037225,Manaus,Ponta Negra,Avenida José Augusto Loureiro,Casas,450m²,5 ou mais,4,5 ou mais
650000,69037155,Manaus,Ponta Negra,Rua Mediterrâneo,Casas,145m²,3,null,3
248000,69058810,Manaus,Flores,Rua Visconde de Utinga,Casas,60m²,2,2,1
330000,69036790,Manaus,Santo Agostinho,Rua Raimundo Nonato de Castro,Apartamentos,67m²,2,1,2
1400000,null,null,null,null,Apartamentos,162m²,4,4,5 ou mais
140000,69099000,Manaus,Novo Aleixo,Rua Itaeté,Apartamentos,null,5 ou mais,0,5 ou mais
470000,69055705,Manaus,Parque 10 de Novembro,Rua Professor Samuel Benchimol,Apartamentos,70m²,2,1,2
750000,69037042,Manaus,Ponta Negra,Rua Raimundo Nonato de Castro,Apartamentos,150m²,4,3,2
359900,69054700,Manaus,Parque 10 de Novembro,Avenida Tancredo Neves - de 1079/1080 a 1859/1860,Casas,150m²,2,2,2
1200000,69040000,Manaus,Dom Pedro I,Avenida Pedro Teixeira,Casas,588m²,5 ou mais,5 ou mais,5 ou mais
800000,null,null,null,null,Apartamentos,133m²,3,2,4
240000,69039170,Manaus,Novo Israel,Rua Arca da Aliança - até 909/910,Casas,600m²,3,null,3
1800000,69037000,Manaus,Ponta Negra,Avenida Coronel Teixeira,Casas,428m²,3,5 ou mais,5 ou mais
270760,69058000,Manaus,Flores,Conjunto Anavilhanas,Casas,70m²,2,2,2
1900000,69058780,Manaus,Flores,Rua Visconde de Santa Cruz,Casas,485m²,5 ou mais,4,5 ou mais
250000,69082230,Manaus,Coroado,Avenida Cosme Ferreira,Apartamentos,60m²,2,1,2
370000,69054650,Manaus,Parque 10 de Novembro,Rua dos Japoneses,Casas,100m²,3,3,2
200000,69055736,Manaus,Parque 10 de Novembro,Avenida Ephigênio Salles,Apartamentos,60m²,2,1,1
700000,null,null,null,null,Casas,160m²,3,4,4
750000,69057000,Manaus,Adrianópolis,Avenida Mário Ypiranga - até 436/437,Apartamentos,118m²,2,2,4
300000,69037042,Manaus,Ponta Negra,Rua Raimundo Nonato de Castro,Apartamentos,58m²,2,1,1
380000,69058121,Manaus,Parque 10 de Novembro,Rua Visconde de Pedra Branca,Casas,81m²,3,2,2
581000,69020031,Manaus,Centro,Avenida Joaquim Nabuco - de 1511/1512 ao fim,Apartamentos,89m²,3,3,2
230000,69010130,Manaus,Centro,Rua Simão Bolívar,Apartamentos,53m²,1,1,1
471000,69093770,Manaus,Colônia Santo Antônio,Avenida Max Teixeira - até 2999 - lado ímpar,Apartamentos,85m²,3,null,3
2000000,69037117,Manaus,Ponta Negra,Rua Líbia,Apartamentos,180m²,3,3,2
900000,69060085,Manaus,Aleixo,Avenida Via Láctea,Apartamentos,154m²,3,2,5 ou mais
350000,69054308,Manaus,Parque 10 de Novembro,Rua Sendai,Casas,90m²,3,3,2
2500000,69037107,Manaus,Ponta Negra,Rua Thales Loureiro,Casas,380m²,3,5 ou mais,5 ou mais
249999,69028310,Manaus,Flores,Rua Villena,Casas,90m²,3,2,1
450000,69077815,Manaus,Japiim,Rua Júlia Lopes,Casas,220m²,5 ou mais,4,4
399000,69058305,Manaus,Flores,Rua Santa Cruz,Casas,72m²,2,2,2
234000,69098445,Manaus,Novo Aleixo,Rua Cachoeira do Niágara,Apartamentos,50m²,1,1,2
750000,69050020,Manaus,Chapada,Avenida Darcy Vargas,Apartamentos,160m²,3,2,5 ou mais
2300000,69041460,Manaus,Tarumã,Rua Sino Azul,Casas,500m²,4,4,5 ou mais
70000,69092410,Manaus,Nova Cidade,Rua Monte Albert,Casas,90m²,2,2,1
320000,null,null,null,null,Apartamentos,90m²,3,1,2
399500,69058305,Manaus,Flores,Rua Santa Cruz,Casas,79m²,2,2,2
3300000,69060020,Manaus,Aleixo,Avenida Ephigênio Salles,Casas,800m²,3,5 ou mais,4
699999,69055170,Manaus,Parque 10 de Novembro,Conjunto Jardim Itália,Apartamentos,157m²,3,1,3
150000,69099326,Manaus,Cidade de Deus,Rua São Tobias,Casas,80m²,3,1,3
1600000,69022160,Manaus,Tarumã,Condomínio Mediterrâneo,Casas,550m²,5 ou mais,4,1
255000,69028331,Manaus,Flores,Rua Franz Schubert,Casas,90m²,3,2,2
509694,69053180,Manaus,Nossa Senhora das Graças,Avenida Rio Mar,Apartamentos,163m²,4,3,4
240000,69086129,Manaus,Gilberto Mestrinho,Rua Raul Pavon,Apartamentos,43m²,2,1,1
780000,null,null,null,null,Casas,200m²,3,3,3
1200000,69037005,Manaus,Ponta Negra,Avenida do Turismo,Casas,190m²,3,4,4
424520,69040080,Manaus,Dom Pedro I,Rua Brigadeiro João Camarão,Apartamentos,90m²,3,2,2
155000,69018150,Manaus,Lago Azul,Avenida Comendador José Cruz,Apartamentos,44m²,2,1,1
