,valor,bairro,zona,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
3842,380000.0,Flores,Centro-Sul,Apartamentos,74.0,3.0,2.0,2.0
3856,235000.0,Aleixo,Centro-Sul,Apartamentos,70.0,2.0,1.0,2.0
3867,380000.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,80.0,3.0,1.0,1.0
3877,900000.0,Aleixo,Centro-Sul,Apartamentos,154.0,3.0,2.0,5.0
3891,190000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,68.0,2.0,1.0,2.0
3901,280157.0,Novo Aleixo,Norte,Casas,80.0,3.0,2.0,2.0
3911,420000.0,São Francisco,Sul,Casas,200.0,4.0,4.0,5.0
3921,249001.0,Dom Pedro I,Centro-Oeste,Casas,122.0,3.0,2.0,1.0
3932,161400.0,Ponta Negra,Oeste,Apartamentos,42.0,2.0,1.0,1.0
3945,320000.0,Novo Aleixo,Norte,Casas,85.0,3.0,3.0,2.0
3956,4500000.0,Ponta Negra,Oeste,Casas,550.0,5.0,4.0,5.0
3971,230000.0,Alvorada,Centro-Oeste,Apartamentos,41.0,2.0,1.0,1.0
3984,1200000.0,Ponta Negra,Oeste,Apartamentos,195.0,3.0,3.0,4.0
3999,234210.0,Gilberto Mestrinho,Leste,Apartamentos,54.0,3.0,1.0,1.0
4010,780000.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,180.0,4.0,3.0,1.0
4024,160125.0,Flores,Centro-Sul,Casas,70.0,2.0,2.0,2.0
4036,1300087.0,Ponta Negra,Oeste,Apartamentos,207.0,4.0,4.0,4.0
4048,590000.0,Tarumã,Oeste,Casas,150.0,3.0,3.0,3.0
4062,230000.0,Flores,Centro-Sul,Apartamentos,42.0,2.0,1.0,1.0
4077,830000.0,Colônia Terra Nova,Norte,Casas,145.0,3.0,4.0,5.0
4089,399500.0,Flores,Centro-Sul,Casas,72.0,2.0,4.0,2.0
4101,350000.0,Dom Pedro I,Centro-Oeste,Casas,80.0,3.0,2.0,1.0
4113,142000.0,Tarumã-Açu,Oeste,Apartamentos,55.0,3.0,1.0,1.0
