,valor,bairro,zona,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
1408,360000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,70.0,2.0,1.0,2.0
1409,140000.0,Lago Azul,Norte,Apartamentos,42.0,2.0,1.0,1.0
1410,650010.0,Dom Pedro I,Centro-Oeste,Casas,600.0,5.0,3.0,5.0
1411,680000.0,Tarumã,Oeste,Casas,200.0,3.0,3.0,4.0
1412,110000.0,Tarumã,Oeste,Apartamentos,42.0,2.0,1.0,1.0
1413,1300001.0,Ponta Negra,Oeste,Casas,500.0,4.0,5.0,5.0
1414,200000.0,Flores,Centro-Sul,Casas,140.0,2.0,2.0,3.0
1415,270000.0,Flores,Centro-Sul,Casas,65.0,2.0,2.0,2.0
1416,730000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,134.0,3.0,2.0,3.0
1417,159000.0,Zumbi dos Palmares,Leste,Apartamentos,43.0,2.0,1.0,1.0
1419,500000.0,Alvorada,Centro-Oeste,Casas,363.0,4.0,5.0,4.0
1420,900000.0,Flores,Centro-Sul,Casas,210.0,4.0,4.0,5.0
1421,1050000.0,Dom Pedro I,Centro-Oeste,Casas,300.0,4.0,2.0,5.0
1422,990000.0,Parque 10 de Novembro,Centro-Sul,Casas,360.0,4.0,4.0,5.0
1424,898346.0,Ponta Negra,Oeste,Apartamentos,123.0,3.0,2.0,2.0
1425,200000.0,Tarumã,Oeste,Apartamentos,65.0,2.0,1.0,1.0
1426,480000.0,Ponta Negra,Oeste,Apartamentos,81.0,3.0,1.0,2.0
1427,741950.0,Ponta Negra,Oeste,Casas,145.0,3.0,2.0,3.0
1428,300000.0,Japiim,Sul,Casas,200.0,5.0,1.0,4.0
1429,348150.0,Ponta Negra,Oeste,Apartamentos,60.0,3.0,2.0,1.0
1430,880000.0,Ponta Negra,Oeste,Casas,275.0,3.0,5.0,5.0
1432,265005.0,Cidade Nova,Norte,Casas,82.0,3.0,2.0,2.0
1433,790000.0,Flores,Centro-Sul,Apartamentos,190.0,4.0,2.0,4.0
1434,85000.0,Jorge Teixeira,Leste,Casas,60.0,3.0,2.0,2.0
1436,990000.0,Dom Pedro I,Centro-Oeste,Casas,310.0,4.0,2.0,5.0
1437,50000.0,Colônia Terra Nova,Norte,Casas,50.0,2.0,2.0,1.0
1438,370000.0,Parque 10 de Novembro,Centro-Sul,Casas,100.0,3.0,2.0,2.0
1440,2400001.0,Ponta Negra,Oeste,Apartamentos,320.0,3.0,4.0,4.0
1441,380000.0,Dom Pedro I,Centro-Oeste,Apartamentos,64.0,2.0,1.0,1.0
1444,700000.0,Ponta Negra,Oeste,Casas,275.0,3.0,4.0,4.0
1446,58000.0,Monte das Oliveiras,Norte,Casas,25.0,3.0,2.0,2.0
1447,520000.0,Parque 10 de Novembro,Centro-Sul,Casas,140.0,3.0,3.0,3.0
1448,280128.0,Novo Aleixo,Norte,Casas,90.0,3.0,2.0,2.0
1449,351000.0,Alvorada,Centro-Oeste,Casas,100.0,3.0,5.0,1.0
1450,900000.0,Flores,Centro-Sul,Casas,213.0,3.0,3.0,3.0
1451,480000.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,140.0,3.0,2.0,2.0
1453,450000.0,Nossa Senhora Aparecida,Sul,Casas,215.0,5.0,5.0,3.0
1454,495000.0,Flores,Centro-Sul,Casas,450.0,3.0,5.0,1.0
1455,135000.0,Tarumã-Açu,Oeste,Apartamentos,56.0,3.0,1.0,1.0
1456,160129.0,Flores,Centro-Sul,Casas,70.0,2.0,2.0,2.0
1459,850000.0,Dom Pedro I,Centro-Oeste,Apartamentos,127.0,4.0,2.0,3.0
1461,550000.0,Da Paz,Centro-Oeste,Casas,100.0,3.0,5.0,4.0
1462,260000.0,Ponta Negra,Oeste,Apartamentos,51.0,1.0,1.0,2.0
1463,282580.0,Ponta Negra,Oeste,Apartamentos,53.0,2.0,1.0,2.0
1465,380129.0,Cidade Nova,Norte,Casas,90.0,3.0,2.0,2.0
1466,123000.0,Tarumã-Açu,Oeste,Apartamentos,46.0,2.0,1.0,1.0
1467,160900.0,Ponta Negra,Oeste,Apartamentos,41.0,2.0,2.0,1.0
1469,1800000.0,Aleixo,Centro-Sul,Casas,291.0,3.0,3.0,4.0
1470,240000.0,Centro,Sul,Apartamentos,73.0,2.0,1.0,2.0
1471,220001.0,Cidade Nova,Norte,Casas,90.0,2.0,3.0,2.0
1472,350000.0,Planalto,Centro-Oeste,Apartamentos,72.0,3.0,1.0,2.0
1473,398590.0,Ponta Negra,Oeste,Apartamentos,63.0,2.0,1.0,1.0
1475,509000.0,Flores,Centro-Sul,Apartamentos,84.0,3.0,2.0,1.0
1476,680000.0,Aleixo,Centro-Sul,Apartamentos,86.0,2.0,2.0,2.0
1477,125000.0,Colônia Santo Antônio,Norte,Casas,94.0,2.0,2.0,1.0
1479,780000.0,Parque 10 de Novembro,Centro-Sul,Casas,156.0,3.0,3.0,3.0
