,Unnamed: 0,valor,bairro,zona,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
2236,2855,4500000.0,Ponta Negra,Oeste,Casas,1600.0,4.0,5.0,5.0
2245,2867,1100000.0,Adrianópolis,Centro-Sul,Apartamentos,147.0,3.0,2.0,4.0
2254,2877,850000.0,Colônia Terra Nova,Norte,Casas,308.0,4.0,4.0,5.0
2263,2889,258000.0,Flores,Centro-Sul,Casas,81.0,3.0,2.0,1.0
2273,2906,424000.0,Parque 10 de Novembro,Centro-Sul,Casas,143.0,2.0,2.0,2.0
2282,2917,700000.0,Aleixo,Centro-Sul,Casas,175.0,3.0,2.0,2.0
2291,2930,250000.0,Flores,Centro-Sul,Casas,90.0,3.0,2.0,1.0
2300,2945,180010.0,São José Operário,Leste,Apartamentos,55.0,2.0,1.0,1.0
2309,2954,370001.0,Novo Aleixo,Norte,Casas,101.0,3.0,3.0,2.0
2318,2965,370000.0,Ponta Negra,Oeste,Apartamentos,80.0,3.0,1.0,2.0
2327,2978,2600000.0,Ponta Negra,Oeste,Casas,335.0,4.0,4.0,4.0
2336,2990,950000.0,Gilberto Mestrinho,Leste,Casas,207.0,4.0,2.0,4.0
2346,3003,600000.0,Ponta Negra,Oeste,Apartamentos,88.0,3.0,2.0,2.0
2355,3019,4500000.0,Adrianópolis,Centro-Sul,Casas,500.0,5.0,5.0,5.0
2364,3034,750000.0,Adrianópolis,Centro-Sul,Apartamentos,140.0,3.0,3.0,5.0
2373,3045,3200000.0,Chapada,Centro-Sul,Casas,370.0,5.0,4.0,5.0
2382,3058,280000.0,Cidade Nova,Norte,Casas,200.0,4.0,3.0,3.0
2391,3071,1400000.0,Flores,Centro-Sul,Casas,317.0,2.0,2.0,2.0
2400,3085,1100000.0,Ponta Negra,Oeste,Casas,150.0,3.0,4.0,3.0
2409,3099,285000.0,Cidade Nova,Norte,Casas,170.0,4.0,2.0,2.0
2418,3112,380000.0,Dom Pedro I,Centro-Oeste,Casas,130.0,2.0,3.0,2.0
2427,3123,280000.0,Colônia Terra Nova,Norte,Apartamentos,60.0,2.0,1.0,2.0
2436,3137,322990.0,Planalto,Centro-Oeste,Apartamentos,59.0,2.0,1.0,2.0
2445,3146,160000.0,Tarumã,Oeste,Apartamentos,57.0,3.0,1.0,1.0
2454,3156,207490.0,Planalto,Centro-Oeste,Apartamentos,43.0,2.0,1.0,1.0
2463,3166,210390.0,Planalto,Centro-Oeste,Apartamentos,43.0,2.0,1.0,1.0
2472,3176,750001.0,Ponta Negra,Oeste,Apartamentos,150.0,4.0,2.0,2.0
2481,3187,1550000.0,Adrianópolis,Centro-Sul,Apartamentos,280.0,4.0,4.0,5.0
