valor,cep,cidade,bairro,logradouro,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
420000,69040000,Manaus,Dom Pedro I,Avenida Pedro Teixeira,Apartamentos,115,3,2,3
200000,69054260,Manaus,Parque 10 de Novembro,Rua Maroaga,Casas,350,3,3,3
255000,69058810,Manaus,Flores,Rua Visconde de Utinga,Casas,81,3,2,1
380003,null,null,null,null,Casas,101,3,3,2
248000,69037000,Manaus,Ponta Negra,Avenida Coronel Teixeira,Apartamentos,48,2,1,1
700000,null,null,null,null,Casas,216,3,4,4
300000,69045000,Manaus,Planalto,Avenida Constantinopla,Casas,90,3,2,2
380000,69021490,Manaus,Tarumã,Travessa do Paulo,Casas,280,5,3,3
449000,null,null,null,null,Casas,149,2,3,3
1200000,69060020,Manaus,Aleixo,Avenida Ephigênio Salles,Apartamentos,155,3,3,5
110000,69088313,Manaus,Jorge Teixeira,null,Casas,null,4,2,1
350000,69078350,Manaus,Japiim,Rua João Bosco Fareco,Apartamentos,120,1,0,1
175000,69098025,Manaus,Novo Aleixo,Avenida Abraham Benzion,Casas,400,3,4,4
53000,69075745,Manaus,Mauazinho,Rua Capim Palma,Casas,0,2,2,1
450000,69058127,Manaus,Flores,Rua Diamantina,Apartamentos,105,3,3,2
14000,69006307,Manaus,Gilberto Mestrinho,Rua Abraão,Casas,null,1,null,null
2300000,69037145,Manaus,Ponta Negra,Alameda Carlota Bonfim,Casas,300,4,4,5
800000,69058833,Manaus,Flores,Rua Dom Jackson D. Rodrigues,Apartamentos,131,3,3,5
400000,69058561,Manaus,Novo Aleixo,Rua Agildo Barata,Casas,200,3,2,3
500000,69020160,Manaus,Centro,Rua Afonso Pena,Apartamentos,79,3,2,2
40000,69097581,Manaus,Nova Cidade,Rua Fiji,Casas,12,1,0,1
620145,69054000,Manaus,Parque 10 de Novembro,Rua Dom João VI,Casas,150,3,2,4
320000,69028390,Manaus,Flores,Rua Uirapuru,Casas,90,3,2,1
40000,69018610,Manaus,Lago Azul,Rua Jaspe Dourado (Res V Melhor),Apartamentos,null,2,null,1
280000,69093018,Manaus,Colônia Santo Antônio,Avenida Torquato Tapajós,Casas,81,2,1,2
199000,69060770,Manaus,Aleixo,Conjunto Sol Nascente,Apartamentos,91,2,1,2
350000,69028275,Manaus,Flores,Rua Ferreira Dias,Casas,95,2,2,2
350002,69097000,Manaus,Cidade Nova,Rua Padre João Ribeiro,Casas,90,3,2,2
480000,69044600,Manaus,Planalto,Rua Bizâncio,Casas,49,2,2,2
1420000,69055742,Manaus,Parque 10 de Novembro,Rua Luis de Castro,Apartamentos,162,3,2,4
540000,69053130,Manaus,Nossa Senhora das Graças,Rua Acre,Apartamentos,70,2,2,2
164855,69058830,Manaus,Flores,Avenida Torquato Tapajós,Apartamentos,42,2,1,1
370000,69054700,Manaus,Parque 10 de Novembro,Avenida Tancredo Neves - de 1079/1080 a 1859/1860,Casas,100,3,2,1
500000,69054639,Manaus,Parque 10 de Novembro,Rua Hilda Seixas,Casas,85,3,2,2
135000,69023022,Manaus,Tarumã-Açu,Rua dos Tigres,Apartamentos,42,2,1,1
1700000,69037144,Manaus,Ponta Negra,Avenida Frederico Baird,Casas,1008,4,5,5
620057,69054000,Manaus,Parque 10 de Novembro,Rua Dom João VI,Casas,150,3,2,4
150000,69058830,Manaus,Flores,Avenida Torquato Tapajós,Apartamentos,65,2,1,1
350071,69097000,Manaus,Cidade Nova,Rua Padre João Ribeiro,Casas,90,3,2,2
300000,69027731,Manaus,Glória,Rua Vitória,Casas,194,5,1,5
370000,69054650,Manaus,Parque 10 de Novembro,null,Casas,105,3,3,2
160254,69058000,Manaus,Flores,Conjunto Anavilhanas,Casas,80,2,2,2
40000,69059529,Manaus,Santa Etelvina,Rua Dona Bernardete Alexandre,Apartamentos,42,2,1,1
25000,69075215,Manaus,Distrito Industrial I,Rua Palmeira do Miriti,Casas,null,1,0,1
550000,69037005,Manaus,Ponta Negra,Avenida do Turismo,Casas,256,2,2,2
260000,69095791,Manaus,Nova Cidade,Travessa Hilda Cunha,Casas,null,3,3,4
850000,69055021,Manaus,Parque 10 de Novembro,Avenida Maneca Marques,Apartamentos,155,3,3,1
205000,69050630,Manaus,Chapada,Conjunto dos Jornalistas,Apartamentos,50,2,1,1
480000,69057240,Manaus,Nossa Senhora das Graças,Rua Vila Amazonas,Apartamentos,113,3,1,3
250000,69067580,Manaus,Petrópolis,Rua Rio Tocantins,Casas,250,4,1,2
120000,69097125,Manaus,Cidade Nova,null,Casas,130,3,2,3
480000,69054732,Manaus,Parque 10 de Novembro,Rua Adrino Gama,Casas,300,4,2,3
60000,69035230,Manaus,Compensa,Rua Ribeiro Couto,Casas,75,2,0,1
140000,69023097,Manaus,Tarumã-Açu,Rua Mutum do Norte,Apartamentos,49,3,1,1
3300000,69037000,Manaus,Ponta Negra,Avenida Coronel Teixeira,Casas,400,4,4,1
298400,69054641,Manaus,Parque 10 de Novembro,Rua Dom Diogo de Souza,Casas,80,2,2,2
130000,69079060,Manaus,São Francisco,Rua Sátiro Dias,Casas,null,3,null,null
780000,69053100,Manaus,Nossa Senhora das Graças,Rua Rio Iça,Apartamentos,132,3,2,4
550000,69053560,Manaus,Nossa Senhora das Graças,Rua Rio Jamari,Apartamentos,65,3,2,2
95000,69080250,Manaus,Coroado,Beco Sabiá,Casas,null,3,0,2
1250000,69057002,Manaus,Adrianópolis,Avenida Mário Ypiranga - de 1087/1088 a 2275/2276,Apartamentos,132,3,2,3
169000,69021390,Manaus,Tarumã,Rua Bergamoteira,Casas,null,4,3,4
299000,69044200,Manaus,Planalto,Rua Joaquim da Mota (Cj Belvedere),Casas,155,5,2,4
270000,69058030,Manaus,Flores,Avenida Professor Nilton Lins,Apartamentos,60,2,1,1
189000,69048000,Manaus,Da Paz,Rua Wagner,Apartamentos,42,2,1,1
300000,69043720,Manaus,Alvorada,Rua Ovídio Gomes Monteiro (Alvorada I),Apartamentos,59,2,1,2
290000,null,null,null,null,Apartamentos,94,3,2,2
2300000,69057070,Manaus,Adrianópolis,Rua Teresina,Apartamentos,260,4,3,5
320000,69028214,Manaus,Flores,Rua Acajá,Casas,350,4,4,5
1150000,69058581,Manaus,Flores,Rua Barão do Rio Branco,Casas,313,4,4,3
580000,69055480,Manaus,Parque 10 de Novembro,Rua Claúdio Coutinho,Casas,200,5,2,5
1350000,69037145,Manaus,Ponta Negra,Alameda Carlota Bonfim,Casas,null,0,null,null
700000,69037145,Manaus,Ponta Negra,Alameda Carlota Bonfim,Casas,160,3,4,3
580010,69015756,Manaus,Colônia Terra Nova,Rua 11 (Cj V Melhor IV),Casas,175,3,2,3
105000,69041360,Manaus,Tarumã,Travessa Canoa Quebrada,Apartamentos,42,2,1,1
150000,69038270,Manaus,Lírio do Vale,Avenida Vera Cruz,Casas,350,3,3,3
670000,69037473,Manaus,Nova Esperança,Avenida Coronel Teixeira,Apartamentos,112,3,1,2
250000,69048000,Manaus,Da Paz,Rua Wagner,Casas,300,2,5,2
600000,69095080,Manaus,Cidade Nova,Rua François Fresnau,Casas,300,4,null,4
