valor,cep,cidade,bairro,zona,logradouro,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
1300000,null,null,null,null,null,Apartamentos,115,3,2,5
145000,69041360,Manaus,Tarumã,Oeste,Travessa Canoa Quebrada,Apartamentos,43,2,1,1
1100000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Casas,1960,3,5,2
380248,69097000,Manaus,Cidade Nova,Norte,Rua Padre João Ribeiro,Casas,80,3,2,2
850000,69058282,Manaus,Flores,Centro-Sul,Rua Barão dos Cocais,Casas,200,3,1,4
269000,69054260,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Maroaga,Casas,60,2,2,2
155000,null,null,null,null,null,Casas,80,2,null,1
490000,69055120,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Ceita Fernandes,Apartamentos,79,3,2,1
178000,null,null,null,null,null,Apartamentos,44,2,1,1
780000,69027700,Manaus,São Raimundo,Oeste,Rua João Rebouças,Casas,350,5,2,5
850000,69060020,Manaus,Aleixo,Centro-Sul,Avenida Ephigênio Salles,Apartamentos,96,3,2,2
340200,69044770,Manaus,Planalto,Centro-Oeste,Rua Hilário Cavalcante de Moraes,Casas,149,4,null,3
490000,69010000,Manaus,Centro,Sul,Avenida Eduardo Ribeiro - de 301/302 a 630/631,Casas,300,3,3,3
390000,69041010,Manaus,Tarumã,Oeste,Avenida do Turismo,Casas,90,3,5,2
70000,69099844,Manaus,Cidade de Deus,Norte,Rua 10 (Res V Melhor II),Apartamentos,null,2,1,1
5200000,69057000,Manaus,Adrianópolis,Centro-Sul,Avenida Mário Ypiranga - até 436/437,Casas,630,5,5,5
600000,69053130,Manaus,Nossa Senhora das Graças,Centro-Sul,Rua Acre,Apartamentos,10,2,3,2
220130,69098000,Manaus,Novo Aleixo,Norte,Rua Cariré,Casas,70,2,2,2
568000,69037131,Manaus,Ponta Negra,Oeste,Rua Romênia,Casas,null,3,3,3
4500000,69060081,Manaus,Aleixo,Centro-Sul,Avenida José de Arimatéia,Casas,500,5,5,5
750000,69047730,Manaus,Redenção,Centro-Oeste,Rua Iguatu,Casas,477,5,2,5
1900000,69058780,Manaus,Flores,Centro-Sul,Rua Visconde de Santa Cruz,Casas,220,4,4,5
850000,69033008,Manaus,São Jorge,Oeste,Avenida Jacira Reis - até 99998/99999,Apartamentos,124,4,2,2
750002,69037042,Manaus,Ponta Negra,Oeste,Rua Raimundo Nonato de Castro,Apartamentos,150,4,2,3
600000,69053130,Manaus,Nossa Senhora das Graças,Centro-Sul,Rua Acre,Casas,10,2,3,2
750000,69054050,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Márcio Figueiredo,Casas,120,3,null,4
739900,null,null,null,null,null,Apartamentos,113,3,2,4
219700,69022358,Manaus,Tarumã-Açu,Oeste,Rua Pacaraima,Casas,53,2,1,1
75,69097505,Manaus,Nova Cidade,Norte,Rua Suel,Casas,816,3,2,1
140000,69015135,Manaus,Colônia Terra Nova,Norte,Rua Piquiazeiro,Casas,160,3,3,2
180000,69055691,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Conde de Anadia,Apartamentos,52,2,1,1
380000,69023001,Manaus,Tarumã-Açu,Oeste,Avenida do Turismo,Casas,87,3,2,1
250000,69097800,Manaus,Cidade Nova,Norte,Travessa Búzios,Casas,220,3,5,3
180000,69093042,Manaus,Colônia Santo Antônio,Norte,Rua Enéas Barreto Thomé,Casas,null,2,5,1
222000,69075000,Manaus,Distrito Industrial I,Sul,Avenida Buriti,Apartamentos,58,2,1,1
570000,69055705,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Professor Samuel Benchimol,Apartamentos,70,3,null,2
800000,69010305,Manaus,Nossa Senhora Aparecida,Sul,Rua Luiz Antony,Casas,283,5,3,4
580000,69055021,Manaus,Parque 10 de Novembro,Centro-Sul,Avenida Maneca Marques,Apartamentos,110,3,2,3
750020,69037144,Manaus,Ponta Negra,Oeste,Avenida Frederico Baird,Casas,144,3,4,2
750000,69058030,Manaus,Flores,Centro-Sul,Avenida Professor Nilton Lins,Casas,202,3,2,4
915000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Apartamentos,142,3,2,2
520000,69054700,Manaus,Parque 10 de Novembro,Centro-Sul,Avenida Tancredo Neves - de 1079/1080 a 1859/1860,Casas,140,3,3,3
340001,69010110,Manaus,Centro,Sul,Rua Monsenhor Coutinho,Apartamentos,100,3,null,2
450000,69054700,Manaus,Parque 10 de Novembro,Centro-Sul,Avenida Tancredo Neves - de 1079/1080 a 1859/1860,Apartamentos,105,3,3,2
390000,null,null,null,null,null,Apartamentos,64,2,1,2
700000,69093415,Manaus,Colônia Terra Nova,Norte,Avenida Torquato Tapajós,Casas,170,3,4,4
1900000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Apartamentos,185,4,3,5
1300000,69058800,Manaus,Flores,Centro-Sul,Rua Visconde de Suassuna,Casas,290,3,3,3
380000,69040270,Manaus,Dom Pedro I,Centro-Oeste,Avenida Jacira Reis - de 1/2 ao fim,Casas,90,3,2,2
160000,null,null,null,null,null,Apartamentos,70,2,null,1
null,null,null,null,null,null,Casas,750,5,null,5
320000,69048460,Manaus,Alvorada,Centro-Oeste,Travessa Alpina,Casas,300,2,3,2
500000,69000000,Manaus,Centro,Sul,null,Casas,250,3,3,4
350000,69054641,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Dom Diogo de Souza,Apartamentos,72,3,1,2
400000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Apartamentos,58,2,2,2
730000,69045130,Manaus,Planalto,Centro-Oeste,Rua Londres,Casas,300,5,4,5
160000,69095130,Manaus,Cidade Nova,Norte,Rua Florinea,Apartamentos,42,2,1,1
550000,69022280,Manaus,Tarumã,Oeste,Rua Caravelle,Casas,380,3,2,4
